,,,,,,,Discontinuation_Year
MAKE,Model,Engine Capacity,Body Type ,Drive configuration,seating,Fuel,Discontinuation_Year
CADILLAC,ESCALADE HYBRID AUTO 2WD SFI RWD HYBRID,6000,S/WAGON,4WD,,Petrol,2013
CADILLAC,ESCALADE ESV AUTO V8 AWD,6200,S/WAGON,4WD,,Petrol,2014
CADILLAC,ESCALADE EXT AUTO V8 AWD,6200,S/WAGON,4WD,,Petrol,2013
CAM,INYATHI,2771,VAN,,14,Petrol,Unknown
CHEVROLET,Aveo N/B T250,1500,HATCHBACK,2WD,,Petrol,2011
CHEVROLET,Captiva C140 2.4 MT BASE,2400,SALOON,2WD,,Petrol,2018
CHEVROLET,Captiva C140 2.4 AT BASE,2400,SALOON,2WD,,Petrol,2018
CHEVROLET,Captiva C140 2.4 MT DELUXE,2400,SALOON,2WD,,Petrol,2018
CHEVROLET,Corsa Utility (No AC),1400,P/U,2WD,,Petrol,2008
CHEVROLET,Corsa Utility (With AC),1400,P/U,2WD,,Petrol,2008
CHEVROLET,Colorado,3000,DOUBLE  CAB,4WD,,Petrol,2012
CHEVROLET,Optra Manual,1800,SALOON,2WD,,Petrol,2009
CHEVROLET,Optra Auto,1800,SALOON,2WD,,Petrol,2009
CHEVROLET,Optra Auto Loaded,1800,SALOON,2WD,,Petrol,2009
CHEVROLET,CHEVROLET ORLANDO ,1800,S/WAGON,2WD,,Petrol,2018
CHEVROLET,LUV PICK UP,1500,SCAB,2WD,,Diesel,2005
CHEVROLET,LACETTI SX AUTO,1800,S/WAGON,2WD,,Petrol,2009
CHEVROLET,CRUZE LTZ 1.4 Auto,1400,SALOON,2WD,,Petrol,2019
CHEVROLET,CRUZE J300 1.6 MT BASE,1600,SALOON,2WD,,Petrol,2015
CHEVROLET,CRUZE J300 1.6 MT DELUXE,1600,SALOON,2WD,,Petrol,2015
CHEVROLET,CRUZE J300 1.8 MT DELUXE,1800,SALOON,2WD,,Petrol,2015
CHEVROLET,CRUZE J300 1.8 AT LUXURY,1800,SALOON,2WD,,Petrol,2015
CHEVROLET,Matiz SE,995,HATCHBACK,2WD,,Petrol,2009
CHEVROLET,Trailblazer,2500,S/WAGON,4WD,,Diesel,Unknown
CHRYSLER,300 Touring,2700,SALOON,2WD,,Petrol,2010
CHRYSLER,300 Touring Plus,3500,SALOON,2WD,,Petrol,2010
CHRYSLER,300 Touring signature series,3500,SALOON,2WD,,Petrol,2010
CHRYSLER,300 v6 RWD,3500,SALOON,2WD,,Petrol,2023
CHRYSLER,300 Touring AWD signature series vp,3500,SALOON,4WD,,Petrol,2010
CHRYSLER,300 c AWD,5700,SALOON,4WD,,Petrol,2010
CHRYSLER,300C CRD LTD,3000,SALOON,2WD,,Diesel,2010
CHRYSLER,GRD VOYAGER TOURING CRD,2777,S/WAGON,2WD,,Diesel,2016
CHRYSLER,300C SRT DESIGN V6 TD,3000,SALOON,2WD,,Diesel,2010
CHRYSLER,PT Cruiser Classic,2600,SALOON,2WD,,Petrol,2010
CHRYSLER,Sebring Touring,2400,SALOON,4WD,,Petrol,2010
CHRYSLER,Sebring Limited,2400,SALOON,4WD,,Petrol,2010
CHRYSLER,Town and Country LX New,3800,SALOON,4WD,,Petrol,2016
CHRYSLER,Town and Country Touring,3800,SALOON,4WD,,Petrol,2016
CHRYSLER,Town annd Country touring plus,3800,SALOON,4WD,,Petrol,2016
CHRYSLER,Town and Touring watter p Chrysler signature series,3800,SALOON,4WD,,Petrol,2016
CHRYSLER,Sebring convertible Lx ,2400,Coupe,4WD,,Petrol,2010
CHRYSLER,Sebring convertible touring,2700,Coupe,4WD,,Petrol,2010
CHRYSLER,Sebring convertible LTD,3500,Coupe,4WD,,Petrol,2010
CHRYSLER,Sebring convertible,2400,Coupe,4WD,,Petrol,2010
CHRYSLER,200 Touring,2400,SALOON,4WD,,Petrol,2017
CHRYSLER,200.00,2700,SALOON,4WD,,Petrol,2017
CITROEN,Citroen relay,2200,VAN,2WD,,Diesel,Unknown
CITROEN,Berlingo,1400,VAN,2WD,,Petrol,2018
CITROEN,Xsara,1600,SALOON,2WD,,Petrol,2004
CITROEN,Xantia,1800,SALOON,2WD,,Petrol,2001
DACIA,Duster Luaurate dci 110 Manual,1500,S/WAGON,4x2,,Petrol,Unknown
DAIHATSU,Bego,1500,S/WAGON,4WD,,Petrol,2017
DAIHATSU,Bego,1500,S/WAGON,2WD,,Petrol,2017
DAIHATSU,Boon,1000,HATCHBACK,2WD,,Petrol,2010
DAIHATSU,Coo,1500,S/WAGON,2WD,,Petrol,2009
DAIHATSU,Mira 2WD,660,HATCHBACK,2WD,,Petrol,2018
DAIHATSU,Mira 4WD,660,HATCHBACK,4WD,,Petrol,2018
DAIHATSU,Move,650,HATCHBACK,2WD,,Petrol,2014
DAIHATSU,HIJET,650,VAN,2WD,,Petrol,Unknown
DAIHATSU,Terios DX Manual,1500,S/WAGON,4WD,,Petrol,2012
DAIHATSU,Terios DX Manual (with air con),1500,S/WAGON,4WD,,Petrol,2012
DAIHATSU,Terios SX Fully Loaded Manual,1500,S/WAGON,4WD,,Petrol,2012
DAIHATSU,Terios Automatic EFI Fully Loaded SX/AT,1500,S/WAGON,4WD,,Petrol,2012
DAIHATSU,YRV,1290,S/WAGON,4WD,,Petrol,2005
DAIHATSU,Rocky,2800,S/WAGON,4WD,,Diesel,2002
DAIHATSU,Feroza,1600,S/WAGON,4WD,,Diesel,1998
DAEWOO,CIELO GL-A,1500,SALOON,2WD,,Petrol,1997
DAEWOO,CIELO GLX,1500,SALOON,2WD,,Petrol,1997
DAEWOO,Matiz s,1500,SALOON,2WD,,Petrol,2000
DAEWOO,Lanos s,1500,SALOON,2WD,,Petrol,2002
DAEWOO,Lanos SE,1600,SALOON,2WD,,Petrol,2002
DAEWOO,Lanos SX,1600,SALOON,2WD,,Petrol,2002
DAEWOO,Nubira SE,1600,SALOON,2WD,,Petrol,2002
DAEWOO,Nubira SX,1600,SALOON,2WD,,Petrol,2002
DAEWOO,Nubira CDX,1600,SALOON,2WD,,Petrol,2002
DAEWOO,Espero CD,2000,SALOON,2WD,,Petrol,1997
DAEWOO,Leganza CDZ,2000,SALOON,2WD,,Petrol,2002
DODGE,NITRO SXT CRD,2800,S/WAGON,4WD,,Diesel,2011
DODGE,Journey 2.4L,2400,S/WAGON,4WD,,Petrol,2020
DODGE,Journey 3.2L,3200,S/WAGON,4WD,,Petrol,2020
DODGE,Caliber sxt ,2000,S/WAGON,4WD,,,2012
EICHER,EICHER 10.50,3300,TRK,4X2,,Diesel,Unknown
EICHER,EICHER 10.75 TURBO,3300,TRK,4X2,,Diesel,Unknown
EICHER,EICHER 10.75 TURBO ALUMINIUM BODY,3300,TRK,4X2,,Diesel,Unknown
EICHER,EICHER TERRA 25 WITH HYVA BODY,183.3HP,TIPPER,6X4,,Diesel,Unknown
EICHER,EICHER PRO 6025,230HP,TIPPER,6X4,,Diesel,Unknown
EICHER,EICHER TERRA 16,,TIPPER,6X4,,Diesel,Unknown
EICHER,EICHER SKYLINE,3300,BUS,4X2,,Diesel,Unknown
EICHER,EICHER CBU SEMI LUX,,BUS,4X2,33,Diesel,Unknown
EICHER,EICHER 10.75 COWL,,BUS,4X2,33,Diesel,Unknown
EICHER,EICHER 10.75 SEMI LUX,,BUS,4X2,33,Diesel,Unknown
EICHER,EICHER 10.75 DELUXE,,BUS,4X2,33,Diesel,Unknown
EICHER,EICHER 11.12 COWL,,BUS,4X2,40,Diesel,Unknown
EICHER,EICHER 11.12 SEMI LUX,,BUS,4X2,40,Diesel,Unknown
EICHER,EICHER 11.12 DELUXE,,BUS,4X2,40,Diesel,Unknown
EICHER,EICHER 20.15 COWL,,BUS,4X3,40,Diesel,Unknown
EICHER,EICHER 20.15 SEMI LUX,,BUS,4X4,40,Diesel,Unknown
EICHER,EICHER 20.15 DELUXE,,BUS,4X5,40,Diesel,Unknown
FAW,CA3312P2K2 HLQ,7700,TRK,8X4,,,Unknown
FAW,CA3252P2K2 J5P,8600,TRK,6X4,,,Unknown
FAW,CA3310P6,8600,TRK,8X4,,,Unknown
FAW,CA3120PK,7100,TRK,4X2,,,Unknown
FAW,CA6371,1100,VAN,4X2,,,Unknown
FAW,CA1024V MINI,970,S/CAB,4X2,,,Unknown
FAW,CA1021 DJA ADMIRAL,970,S/CAB,4X2,,,Unknown
FAW,CA1021 DJA ADMIRAL,2237,DOUBLE  CAB,4*2,,,Unknown
FAW,BQ2023 GRAND TIGER,2237,DOUBLE  CAB,4*4,,,Unknown
FAW,CA1223,,TRK,6*4,,,Unknown
FAW,CA3250,8000,TIPPER,6*4,,,Unknown
FAW,CA3320,9726,TIPPER,6*4,,,Unknown
FAW,CA3223,6557,TIPPER,6*4,,,Unknown
FAW,CA1041K2L2Y,3168,TRK,6*4,,,Unknown
FAW,CA1075 CHASSIS ONLY,,TRK,4*2,,,Unknown
FAW,CA1081 FAW FIGHTER CHASSIS ONLY,,TRK,4*2,,,Unknown
FAW,CA1170,,TRK,6*2,,,Unknown
